station_id,sensor_id,location_type,sensor_model,deployment_batch,maintenance_note_present,median_battery_voltage,low_battery_fraction,n_flagged_measurements,has_step_change,max_validation_residual_mae,uncorrected_high_residual_count,priority_score,priority_class,recommended_action
ST02,S02B,roadside,EnviroSense-X2,A,true,3.722,0.454,2,false,0.1017,0,8,high,immediate_site_visit
ST01,S01B,urban_rooftop,EnviroSense-X2,A,false,3.725,0.4111,1,true,0.0917,0,6,high,immediate_site_visit
ST03,S03B,school_yard,EnviroSense-H3,A,false,3.724,0.4167,1,true,0.155,0,6,high,immediate_site_visit
ST04,S04D,industrial_edge,EnviroSense-PM4,A,false,3.7235,0.4222,1,true,0.1,0,6,high,immediate_site_visit
ST01,S01A,urban_rooftop,EnviroSense-X2,A,false,3.723,0.4056,1,false,0.095,0,4,medium,schedule_recalibration
ST02,S02A,roadside,EnviroSense-X2,A,false,3.723,0.4333,1,false,0.115,0,4,medium,schedule_recalibration
ST03,S03A,school_yard,EnviroSense-H3,A,false,3.7235,0.4111,1,false,0.1083,0,4,medium,schedule_recalibration
ST04,S04A,industrial_edge,EnviroSense-PM4,A,false,3.7235,0.4333,1,false,0.0933,0,4,medium,schedule_recalibration
ST01,S01C,urban_rooftop,EnviroSense-X2,A,false,3.724,0.4056,0,false,11.9783,1,3,medium,schedule_recalibration
ST03,S03C,school_yard,EnviroSense-H3,A,false,3.725,0.4111,0,false,2.8733,1,3,medium,schedule_recalibration
ST05,S05A,forest_edge,EnviroSense-X2,B,false,3.731,0.1894,1,false,0.075,0,3,medium,schedule_recalibration
ST06,S06A,coastal,EnviroSense-H3,B,false,3.73,0.2197,1,false,0.07,0,3,medium,schedule_recalibration
ST07,S07A,suburban,EnviroSense-PM4,B,false,3.731,0.2273,1,false,0.1283,0,3,medium,schedule_recalibration
ST04,S04C,industrial_edge,EnviroSense-PM4,A,true,3.723,0.431,0,false,1.7367,0,2,low,routine_monitoring
ST05,S05D,forest_edge,EnviroSense-X2,B,false,3.7295,0.197,0,false,8.9783,1,2,low,routine_monitoring
ST06,S06C,coastal,EnviroSense-H3,B,false,3.7305,0.2424,0,false,2.8167,1,2,low,routine_monitoring
ST01,S01D,urban_rooftop,EnviroSense-X2,A,false,3.7255,0.4167,0,false,0.55,0,1,low,routine_monitoring
ST02,S02C,roadside,EnviroSense-X2,A,false,3.724,0.4,0,false,0.0967,0,1,low,routine_monitoring
ST02,S02D,roadside,EnviroSense-X2,A,false,3.724,0.4333,0,false,6.0767,0,1,low,routine_monitoring
ST03,S03D,school_yard,EnviroSense-H3,A,false,3.724,0.4056,0,false,0.0883,0,1,low,routine_monitoring
ST04,S04B,industrial_edge,EnviroSense-PM4,A,false,3.724,0.3889,0,false,0.1067,0,1,low,routine_monitoring
ST05,S05B,forest_edge,EnviroSense-X2,B,false,3.732,0.2121,0,false,0.09,0,0,low,routine_monitoring
ST05,S05C,forest_edge,EnviroSense-X2,B,false,3.731,0.2197,0,false,3.475,0,0,low,routine_monitoring
ST06,S06B,coastal,EnviroSense-H3,B,false,3.731,0.1742,0,false,0.1483,0,0,low,routine_monitoring
ST06,S06D,coastal,EnviroSense-H3,B,false,3.731,0.2197,0,false,0.415,0,0,low,routine_monitoring
ST07,S07B,suburban,EnviroSense-PM4,B,false,3.7315,0.2273,0,false,0.13,0,0,low,routine_monitoring
ST07,S07C,suburban,EnviroSense-PM4,B,false,3.732,0.2197,0,false,2.6317,0,0,low,routine_monitoring
ST07,S07D,suburban,EnviroSense-PM4,B,false,3.731,0.2121,0,false,0.1167,0,0,low,routine_monitoring
